iter	Passed	Remaining
0	230	45781
1	280	27782
2	343	22565
3	398	19521
4	459	17937
5	516	16702
6	576	15894
7	641	15386
8	708	15046
9	779	14813
10	860	14792
11	921	14436
12	990	14242
13	1064	14142
14	1126	13887
15	1188	13667
16	1253	13497
17	1317	13320
18	1378	13136
19	1443	12987
20	1508	12855
21	1575	12743
22	1651	12705
23	1714	12573
24	1790	12530
25	1852	12399
26	1921	12309
27	1983	12184
28	2047	12075
29	2110	11961
30	2177	11870
31	2235	11737
32	2297	11624
33	2354	11494
34	2408	11352
35	2467	11242
36	2534	11165
37	2597	11074
38	2663	10996
39	2727	10908
40	2793	10832
41	2855	10740
42	2927	10687
43	3017	10697
44	3082	10616
45	3149	10544
46	3207	10440
47	3264	10338
48	3326	10251
49	3387	10162
50	3454	10093
51	3527	10040
52	3591	9961
53	3660	9896
54	3721	9810
55	3795	9760
56	3868	9706
57	3934	9633
58	4001	9564
59	4063	9482
60	4128	9406
61	4197	9343
62	4259	9261
63	4319	9179
64	4380	9097
65	4437	9009
66	4499	8931
67	4562	8856
68	4627	8784
69	4703	8735
70	4767	8662
71	4828	8583
72	4894	8515
73	4963	8451
74	5027	8378
75	5092	8309
76	5178	8272
77	5233	8186
78	5294	8109
79	5350	8025
80	5408	7945
81	5466	7866
82	5530	7795
83	5592	7723
84	5665	7664
85	5722	7586
86	5791	7522
87	5852	7448
88	5914	7376
89	5981	7311
90	6050	7247
91	6118	7183
92	6189	7121
93	6250	7048
94	6317	6982
95	6368	6898
96	6422	6819
97	6444	6707
98	6512	6643
99	6568	6568
100	6628	6496
101	6685	6423
102	6746	6353
103	6810	6286
104	6892	6236
105	6949	6162
106	7008	6091
107	7066	6019
108	7127	5950
109	7191	5883
110	7250	5813
111	7324	5754
112	7381	5682
113	7435	5609
114	7484	5531
115	7549	5466
116	7609	5398
117	7672	5331
118	7730	5262
119	7792	5195
120	7855	5128
121	7918	5062
122	7987	5000
123	8050	4933
124	8108	4865
125	8171	4799
126	8239	4736
127	8297	4667
128	8354	4597
129	8409	4528
130	8469	4460
131	8527	4393
132	8588	4326
133	8646	4258
134	8708	4192
135	8769	4126
136	8844	4067
137	8907	4001
138	8962	3933
139	9019	3865
140	9079	3799
141	9141	3734
142	9203	3668
143	9258	3600
144	9317	3534
145	9381	3469
146	9429	3399
147	9505	3339
148	9565	3274
149	9627	3209
150	9690	3144
151	9758	3081
152	9818	3016
153	9882	2951
154	9955	2890
155	10013	2824
156	10075	2759
157	10133	2693
158	10204	2631
159	10261	2565
160	10326	2501
161	10381	2435
162	10439	2369
163	10498	2304
164	10557	2239
165	10609	2172
166	10670	2108
167	10729	2043
168	10791	1979
169	10861	1916
170	10926	1853
171	10987	1788
172	11043	1723
173	11099	1658
174	11168	1595
175	11226	1530
176	11280	1465
177	11336	1401
178	11393	1336
179	11451	1272
180	11511	1208
181	11573	1144
182	11652	1082
183	11716	1018
184	11780	955
185	11843	891
186	11901	827
187	11961	763
188	12031	700
189	12100	636
190	12161	573
191	12219	509
192	12290	445
193	12353	382
194	12428	318
195	12492	254
196	12558	191
197	12633	127
198	12703	63
199	12768	0
